,Year,Province,Gender,Cause of death,Total,lat,lng,Country
153805,2018,Newfoundland and Labrador,Males,Salmonella infections ,0.0,53.1355, -57.6604,Canada
153809,2018,Newfoundland and Labrador,Males,Shigellosis and amoebiasis ,0.0,53.1355, -57.6604,Canada
153813,2018,Newfoundland and Labrador,Males,Tuberculosis ,1.0,53.1355, -57.6604,Canada
153817,2018,Newfoundland and Labrador,Males,Whooping cough ,0.0,53.1355, -57.6604,Canada
153821,2018,Newfoundland and Labrador,Males,Scarlet fever and erysipelas ,0.0,53.1355, -57.6604,Canada
153825,2018,Newfoundland and Labrador,Males,Meningococcal infection ,0.0,53.1355, -57.6604,Canada
153829,2018,Newfoundland and Labrador,Males,Sepsis ,19.0,53.1355, -57.6604,Canada
153833,2018,Newfoundland and Labrador,Males,Syphilis ,0.0,53.1355, -57.6604,Canada
153837,2018,Newfoundland and Labrador,Males,Acute poliomyelitis ,0.0,53.1355, -57.6604,Canada
153841,2018,Newfoundland and Labrador,Males,Arthropod-borne viral encephalitis ,0.0,53.1355, -57.6604,Canada
153845,2018,Newfoundland and Labrador,Males,Measles ,0.0,53.1355, -57.6604,Canada
153849,2018,Newfoundland and Labrador,Males,Viral hepatitis ,1.0,53.1355, -57.6604,Canada
153853,2018,Newfoundland and Labrador,Males,Human immunodeficiency virus ,0.0,53.1355, -57.6604,Canada
153857,2018,Newfoundland and Labrador,Males,Malaria ,0.0,53.1355, -57.6604,Canada
153861,2018,Newfoundland and Labrador,Males,Malignant neoplasms ,778.0,53.1355, -57.6604,Canada
153865,2018,Newfoundland and Labrador,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour ",23.0,53.1355, -57.6604,Canada
153869,2018,Newfoundland and Labrador,Males,Anaemias ,3.0,53.1355, -57.6604,Canada
153873,2018,Newfoundland and Labrador,Males,Diabetes mellitus ,99.0,53.1355, -57.6604,Canada
153877,2018,Newfoundland and Labrador,Males,Nutritional deficiencies ,2.0,53.1355, -57.6604,Canada
153881,2018,Newfoundland and Labrador,Males,Meningitis ,0.0,53.1355, -57.6604,Canada
153885,2018,Newfoundland and Labrador,Males,Parkinson's disease ,27.0,53.1355, -57.6604,Canada
153889,2018,Newfoundland and Labrador,Males,Alzheimer's disease ,24.0,53.1355, -57.6604,Canada
153893,2018,Newfoundland and Labrador,Males,Diseases of heart ,579.0,53.1355, -57.6604,Canada
153897,2018,Newfoundland and Labrador,Males,Essential hypertension and hypertensive renal disease ,14.0,53.1355, -57.6604,Canada
153901,2018,Newfoundland and Labrador,Males,Cerebrovascular diseases ,118.0,53.1355, -57.6604,Canada
153905,2018,Newfoundland and Labrador,Males,Atherosclerosis ,4.0,53.1355, -57.6604,Canada
153909,2018,Newfoundland and Labrador,Males,Aortic aneurysm and dissection ,27.0,53.1355, -57.6604,Canada
153913,2018,Newfoundland and Labrador,Males,Influenza and pneumonia ,70.0,53.1355, -57.6604,Canada
153917,2018,Newfoundland and Labrador,Males,Acute bronchitis and bronchiolitis ,0.0,53.1355, -57.6604,Canada
